x,y,token
0.10725926,0.08913029,worn
0.15582973,0.029981283,whispered
0.15338135,0.17370816,discoveries
0.048083767,0.09026494,strictly
0.062269866,0.091489516,strangers
-0.1515288,-0.25669238,thither
0.2350321,0.17747809,evidence
0.20763755,0.17278177,gown
0.15569025,0.06377354,ford
-0.19379692,-0.33248508,shop
-0.10306507,-0.22262013,whispering
0.3760097,0.22315697,t
-0.11304855,-0.17217268,courage
0.031684868,-0.059989173,kindly
0.27193075,0.28114313,sincerely
0.046347596,0.12904273,described
-0.18215255,-0.13686113,genuine
-0.13693655,-0.07533378,disturbed
-0.0594908,-0.014096966,exerted
0.126356,0.17097597,trifle
0.019120054,0.08067004,rejoice
-0.004420948,0.024779081,learned
0.023128917,0.09860775,shock
-0.15300429,-0.07043535,seeking
